area_id,sex,agegr_id,indicator,time,mean,se,median,lower,upper
MWI,male,16,num_art_facility,2018.75,16955.8057435275,1593.1283285292,16869.9603314774,13968.1722692503,20113.1957636008
MWI,male,17,num_art_facility,2018.75,27160.7783327424,2247.64932084068,27193.0326128556,22828.7871166503,31680.3265276373
MWI,male,18,num_art_facility,2018.75,44075.2216120629,2384.40805311071,44044.054305958,39628.5908469331,48780.5633774574
MWI,male,19,num_art_facility,2018.75,42243.2925153066,2304.97361239783,42106.5638748287,37917.3483425979,46763.8561725858
MWI,male,20,num_art_facility,2018.75,39987.3527084827,2235.84698861947,39972.0977447929,35699.395728995,44472.6206079697
MWI,male,29,num_art_facility,2018.75,81670.0081405241,5153.17614936485,81590.0470227944,71973.0131535793,92170.9678960579
MWI,female,14,num_art_facility,2018.75,19125.8984749849,1317.46884083019,19115.5531519779,16569.5162368862,21719.9009904395
MWI,female,15,num_art_facility,2018.75,31260.1094787268,2067.54419345745,31236.3501637179,27295.3643429226,35362.3508225
MWI,female,16,num_art_facility,2018.75,54925.7770308019,2374.28985081685,54929.7387788545,50014.0840696724,59566.5636289667
MWI,female,17,num_art_facility,2018.75,68277.3941383032,2545.9383261312,68321.1345248923,63430.8243859143,73242.8595660667
MWI,female,18,num_art_facility,2018.75,81270.5853464975,2722.92234856842,81255.8977681768,75943.6618481222,86826.2671621318
MWI,female,19,num_art_facility,2018.75,74790.4985583907,2586.2002083023,74776.564692557,69837.9380306844,79796.9797908446
MWI,female,20,num_art_facility,2018.75,56094.2398962175,2389.51874043061,56061.5718354721,51570.0230897727,60929.0271556875
MWI,female,29,num_art_facility,2018.75,88722.9715912033,5790.18965415711,88593.2885294485,77599.3728056711,100150.355537932
MWI,male,11,prevalence,2018.75,0.005597941990341,0.00012499911054,0.005593236110577,0.005363615427857,0.005850899615266
MWI,male,12,prevalence,2018.75,0.009884018645831,0.000220431820424,0.009875537480702,0.009469891017961,0.01032869252385
MWI,male,13,prevalence,2018.75,0.015402503870574,0.000344082482663,0.015390262426734,0.014758530206014,0.016097581602361
MWI,female,11,prevalence,2018.75,0.005591754900106,0.000124811114258,0.005587173227074,0.005357447359332,0.005844020645609
MWI,female,12,prevalence,2018.75,0.009881160545062,0.000220195517825,0.009872633679984,0.009466625727524,0.010325571805452
MWI,female,13,prevalence,2018.75,0.015450093369149,0.000344686934984,0.015438885377427,0.014802218683616,0.016146101834112
MWI,male,14,prevalence,2018.75,0.011712475566699,0.000987972217937,0.011637572457545,0.009960378107087,0.013801252729111
MWI,male,15,prevalence,2018.75,0.021891054885573,0.001787142572921,0.021781647456446,0.018666172310388,0.025585809132259
MWI,male,16,prevalence,2018.75,0.047346758198921,0.003268248047803,0.047297992570585,0.041356935411919,0.053891839592606
MWI,male,17,prevalence,2018.75,0.093622995919814,0.005264235035825,0.093572202282312,0.083751185597062,0.104128616008557
MWI,male,18,prevalence,2018.75,0.130252063667981,0.006729997546688,0.130249382066567,0.117408051482221,0.143791187408613
MWI,male,19,prevalence,2018.75,0.154957802903444,0.008060296466419,0.154660957460118,0.139856169263552,0.170863451443786
MWI,male,20,prevalence,2018.75,0.185065670918465,0.009896452590635,0.185003560045599,0.165899275631457,0.204234771192377
MWI,male,29,prevalence,2018.75,0.13444493903839,0.008280106297471,0.134276713122643,0.119184623173832,0.151451933196892
MWI,female,14,prevalence,2018.75,0.029054902969961,0.001498144131769,0.029020469258749,0.026301186621081,0.032082151846599
MWI,female,15,prevalence,2018.75,0.057639249827717,0.002868022701241,0.057548799938455,0.052300811496791,0.063573757189532
MWI,female,16,prevalence,2018.75,0.098951540105828,0.004172418283954,0.098867923533822,0.09113027995414,0.107284300777757
MWI,female,17,prevalence,2018.75,0.146940418179623,0.005352376375459,0.146806007897695,0.13700368802504,0.157559451811282
MWI,female,18,prevalence,2018.75,0.195429446913485,0.006477388755192,0.195289952338125,0.182991451933973,0.208303373840434
MWI,female,19,prevalence,2018.75,0.224875301991256,0.00776210020747,0.224756110695274,0.209756574552826,0.239870939134302
MWI,female,20,prevalence,2018.75,0.210784536200699,0.008961808902203,0.210644233199257,0.19328054486721,0.22856256657779
MWI,female,29,prevalence,2018.75,0.126416490978398,0.008107191471895,0.126282964203648,0.111064353152998,0.141885521370348
MWI,male,11,art_coverage,2018.75,0.441069881675519,0.009823076378675,0.441221628403953,0.421790990989281,0.460110680519455
MWI,male,12,art_coverage,2018.75,0.597575496129064,0.013292639552359,0.597792236044981,0.571565047296309,0.623398898548519
MWI,male,13,art_coverage,2018.75,0.581458477292924,0.012954634239949,0.581631579516292,0.556074997203255,0.606528057476065
MWI,female,11,art_coverage,2018.75,0.486800072946505,0.010837369794717,0.486957370046918,0.46555536793083,0.507837967928304
MWI,female,12,art_coverage,2018.75,0.640202361161833,0.014229995950212,0.640438175350892,0.612344926157416,0.667905511564839
